,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10
-10,12353.8,8506.48,5676.03,3658.47,2273.8,1366.01,803.12,477.117,304.003,223.779,200.445,222,300.445,471.779,796.003,1357.12,2263.12,3646.01,5661.8,8490.47,12336
-9,12064,8263.64,5475.33,3495.05,2142.8,1262.59,722.409,414.262,254.147,182.065,162.016,182,254.016,414.065,722.147,1262.26,2142.41,3494.59,5474.8,8263.05,12063.3
-8,11912.2,8135.59,5368.37,3406.54,2070.1,1203.05,673.398,373.135,218.263,148.784,128.696,146,212.696,364.784,662.263,1189.13,2053.4,3387.05,5346.1,8110.54,11884.4
-7,11710.1,7966.66,5229.06,3293.3,1979.4,1131.36,617.165,328.826,182.339,117.706,98.9266,114,174.927,317.706,602.339,1112.83,1957.17,3267.36,5199.4,7933.3,11673.1
-6,11393.8,7703.99,5014.57,3121.52,1844.82,1028.48,540.498,272.879,141.619,86.7197,72.1799,86,140.18,270.72,537.619,1024.88,1840.5,3116.48,5008.82,7697.52,11386.6
-5,11170.2,7518.65,4863.49,3000.66,1750.16,955.995,486.163,232.664,111.499,62.6661,50.1665,62,110.167,230.666,483.499,952.664,1746.16,2996,4858.16,7512.66,11163.5
-4,11043,7413.71,4778.29,2932.7,1696.94,915.016,454.928,208.674,92.254,45.6684,32.9171,42,84.9171,197.668,440.254,896.674,1674.93,2907.02,4748.94,7380.7,11006.3
-3,10804.2,7217.21,4619.68,2807.57,1600.89,843.635,403.802,173.393,68.4088,28.8484,18.7121,26,62.7121,164.848,392.409,829.393,1583.8,2787.64,4596.89,7191.57,10775.7
-2,10510.6,6976.12,4425.71,2655.35,1485.04,758.762,344.529,134.339,44.1905,14.0847,8.02117,14,44.0212,134.085,344.191,758.339,1484.53,2654.76,4425.04,6975.35,10509.7
-1,10353.7,6848.72,4324.61,2577.34,1426.94,717.381,316.681,116.836,33.8452,7.709,2.42725,6,30.4272,111.709,309.845,708.836,1416.68,2565.38,4310.94,6833.34,10336.6
0,10221,6742,4241,2514,1381,686,297,106,29,6,1,2,21,94,281,666,1357,2486,4209,6706,10181
1,9953.7,6524.72,4068.61,2381.34,1282.94,617.381,252.681,80.836,17.8452,3.709,2.42725,2,14.4272,75.709,245.845,608.836,1272.68,2369.38,4054.94,6509.34,9936.61
2,9710.56,6328.12,3913.71,2263.35,1197.04,558.762,216.529,62.3387,12.1905,6.08468,8.02117,6,12.0212,62.0847,216.191,558.339,1196.53,2262.76,3913.04,6327.35,9709.71
3,9604.16,6245.21,3851.68,2219.57,1168.89,543.635,211.802,65.3934,20.4088,16.8484,18.7121,14,14.7121,56.8484,200.409,529.393,1151.8,2199.64,3828.89,6219.57,9575.68
4,9442.97,6117.71,3754.29,2148.7,1120.94,515.016,198.928,64.6738,28.254,29.6684,32.9171,26,20.9171,53.6684,184.254,496.674,1098.93,2123.02,3724.94,6084.7,9406.29
5,9170.15,5898.65,3583.49,2020.66,1030.16,455.995,166.163,52.6645,31.4988,42.6661,50.1665,42,30.1665,50.6661,163.499,452.664,1026.16,2016,3578.16,5892.66,9163.49
6,8993.77,5759.99,3478.57,1945.52,980.816,428.477,156.498,56.8788,45.6194,62.7197,72.1799,62,44.1799,54.7197,153.619,424.879,976.498,1940.48,3472.82,5753.52,8986.57
7,8910.12,5698.66,3437.06,1921.3,971.404,431.358,169.165,76.8258,70.3395,89.7064,98.9266,86,62.9266,65.7064,154.339,412.826,949.165,1895.36,3407.4,5665.3,8873.06
8,8712.21,5543.59,3320.37,1838.54,918.101,403.053,161.398,85.1349,90.2634,116.784,128.696,114,84.6959,76.7837,150.263,389.135,901.398,1819.05,3298.1,5518.54,8684.37
9,8463.98,5347.64,3171.33,1731.05,846.802,362.589,146.409,90.262,110.147,146.065,162.016,146,110.016,90.0655,146.147,362.262,846.409,1730.59,3170.8,5347.05,8463.33
10,8353.82,5266.48,3116.03,1698.47,833.796,366.013,163.12,117.117,144.003,183.779,200.445,182,140.445,111.779,156.003,357.117,823.12,1686.01,3101.8,5250.47,8336.03
